RA_Decl,RA,Decl,Box_Offs_Rel_SUBJ_Cntr,Box_Obsv_Done,Search_Box_Center_DECaLS_DR8_URL,DECaLS_DR8_URL,Category,Observation_Included_In_Corresponding_PNG,Category_Descrption,Working Notes,GALEX_Highest_Color__Violet_White_Blue_Green_Yellow_grAy_browN__At-DECaLS-Contrast-0.9_DECaLS-Brightness-3-upward,DR8_Core_Color,DR8_Periphery_Color,DR_8_Resids_Features,DR_8_Resids_Core_Heatmap_Colors,DR_8_Resids_Outer_Mode_Heatmap_Colors,NED_Search_URL,Separator,NED_Nearest_Obj_ID,NED Redshift,NED_Search_Mag,Search_Box_Addr,matplotlib_color,Search_Box_Center_RA_Decl
"218.6863, -2.4506",218.6863,-2.4506,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6863&dec=-2.4506&layer=dr8&zoom=15,Speck,Y,,,A,Blue,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6863d%20-2.4506d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.6948, -2.4551",218.6948,-2.4551,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6948&dec=-2.4551&layer=dr8&zoom=15,Splat,Y,,,A,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6948d%20-2.4551d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.6949, -2.4549",218.6949,-2.4549,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6949&dec=-2.4549&layer=dr8&zoom=15,Speck,Y,,,A,Blue,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6949d%20-2.4549d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.6978, -2.4501",218.6978,-2.4501,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6978&dec=-2.4501&layer=dr8&zoom=15,CoredOval,Y,,,A,Orange,Blue,Red,Red,Blue,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6978d%20-2.4501d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.6979, -2.4500",218.6979,-2.45,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6979&dec=-2.45&layer=dr8&zoom=15,CoredOval,Y,,,G,Orange,Blue,Red,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6979d%20-2.45d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.6885, -2.4920",218.6885,-2.492,"(0, -1)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4761&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6885&dec=-2.492&layer=dr8&zoom=15,Splat,Y,,,A,Blue,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6885d%20-2.492d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 5)",,"(218.6822, -2.4761)"
"218.6969, -2.4759",218.6969,-2.4759,"(0, -1)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4761&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6969&dec=-2.4759&layer=dr8&zoom=15,Splat,Y,,,A,Blue,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6969d%20-2.4759d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 5)",,"(218.6822, -2.4761)"
"218.6853, -2.4968",218.6853,-2.4968,"(0, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6853&dec=-2.4968&layer=dr8&zoom=15,Spot,Y,,,A,Orange,Orange,Orange,Orange,Black,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6853d%20-2.4968d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 4)",,"(218.6822, -2.5078)"
"218.6872, -2.5015",218.6872,-2.5015,"(0, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6872&dec=-2.5015&layer=dr8&zoom=15,CoredOval,Y,,,A,Orange,Orange,Black,Black,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6872d%20-2.5015d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 4)",,"(218.6822, -2.5078)"
"218.6981, -2.5211",218.6981,-2.5211,"(0, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6981&dec=-2.5211&layer=dr8&zoom=15,Splat,Y,,,A,Purple,Blue,Black,Black,Black,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6981d%20-2.5211d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 4)",,"(218.6822, -2.5078)"
"218.6983, -2.5213",218.6983,-2.5213,"(0, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6983&dec=-2.5213&layer=dr8&zoom=15,Spot,Y,,,A,Blue,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6983d%20-2.5213d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 4)",,"(218.6822, -2.5078)"
"218.6692, -2.5510",218.6692,-2.551,"(0, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6692&dec=-2.551&layer=dr8&zoom=15,Spot,Y,,,A,Gray,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6692d%20-2.551d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 3)",,"(218.6822, -2.5395)"
"218.6739, -2.5386",218.6739,-2.5386,"(0, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6739&dec=-2.5386&layer=dr8&zoom=15,Splat,Y,,,Y,Purple,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6739d%20-2.5386d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 3)",,"(218.6822, -2.5395)"
"218.6805, -2.5335",218.6805,-2.5335,"(0, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6805&dec=-2.5335&layer=dr8&zoom=15,Spot,Y,,,A,Purple-Orange,Green,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6805d%20-2.5335d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 3)",,"(218.6822, -2.5395)"
"218.6809, -2.5410",218.6809,-2.541,"(0, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6809&dec=-2.541&layer=dr8&zoom=15,Round,Y,,,G,Purple,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6809d%20-2.541d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 3)",,"(218.6822, -2.5395)"
"218.6873, -2.5315",218.6873,-2.5315,"(0, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6873&dec=-2.5315&layer=dr8&zoom=15,Splat,Y,,,G,Purple,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6873d%20-2.5315d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 3)",,"(218.6822, -2.5395)"
"218.6940, -2.5268",218.69400000000002,-2.5268,"(0, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.69400000000002&dec=-2.5268&layer=dr8&zoom=15,Speck,Y,,,A,Purple,,Black,Black,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.69400000000002d%20-2.5268d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 3)",,"(218.6822, -2.5395)"
"218.6978, -2.5318",218.6978,-2.5318,"(0, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6978&dec=-2.5318&layer=dr8&zoom=15,CoredOval,Y,,,A,Orange,Blue,Red,Red,Black,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6978d%20-2.5318d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 3)",,"(218.6822, -2.5395)"
"218.6978, -2.5319",218.6978,-2.5319,"(0, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6978&dec=-2.5319&layer=dr8&zoom=15,CoredOval,Y,,,A,Orange,Blue,Dot,Red,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6978d%20-2.5319d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 3)",,"(218.6822, -2.5395)"
"218.6707, -2.5756",218.6707,-2.5756,"(0, -4)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5712&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6707&dec=-2.5756&layer=dr8&zoom=15,RadialGradient,Y,,,Y,Orange,"Green,Purple",Irregular,Red,"Side, Blue",https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6707d%20-2.5756d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 2)",,"(218.6822, -2.5712)"
"218.6723, -2.5813",218.6723,-2.5813,"(0, -4)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5712&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6723&dec=-2.5813&layer=dr8&zoom=15,Round,Y,,,Y,Blue,,Irregular,Red in Black,"Side, Cyan, Purple",https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6723d%20-2.5813d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 2)",,"(218.6822, -2.5712)"
"218.6730, -2.5728",218.673,-2.5728,"(0, -4)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5712&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.673&dec=-2.5728&layer=dr8&zoom=15,Spot,Y,,,Y,Blue,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.673d%20-2.5728d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 2)",,"(218.6822, -2.5712)"
"218.6795, -2.5666",218.6795,-2.5666,"(0, -4)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5712&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6795&dec=-2.5666&layer=dr8&zoom=15,Splat,Y,,,A,Gray,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6795d%20-2.5666d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 2)",,"(218.6822, -2.5712)"
"218.6812, -2.5852",218.6812,-2.5852,"(0, -4)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5712&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6812&dec=-2.5852&layer=dr8&zoom=15,Splat,Y,,,A,Beige,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6812d%20-2.5852d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 2)",,"(218.6822, -2.5712)"
"218.6982, -2.5640",218.6982,-2.5639999999999996,"(0, -4)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5712&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6982&dec=-2.5639999999999996&layer=dr8&zoom=15,Round,Y,,,Y,Blue,,Blue,Noise,Noise,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6982d%20-2.5639999999999996d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 2)",,"(218.6822, -2.5712)"
"218.6982, -2.5824",218.6982,-2.5824,"(0, -4)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.5712&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6982&dec=-2.5824&layer=dr8&zoom=15,Round,Y,,,A,Yellow,,Dot,Blue,Noise,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6982d%20-2.5824d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,WISEA J143447.56-023456.4,,,"(7, 2)",,"(218.6822, -2.5712)"
"218.700800 , -2.381400",218.7008,-2.3814,"(1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.7159&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.7008&dec=-2.3814&layer=dr8&zoom=15,Round,Y,,,Y,Blue,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.7008d%20-2.3814d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,SDSS J143448.17-022252.8,,,"(8, 8)",,"(218.7159, -2.381)"
"218.707000 , -2.384300",218.707,-2.3843,"(1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.7159&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.707&dec=-2.3843&layer=dr8&zoom=15,Round,Y,,,G,Gray,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.707d%20-2.3843d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,WISEA J143449.97-022308.8,,,"(8, 8)",,"(218.7159, -2.381)"
"218.7179, -2.3949",218.7179,-2.3949,"(1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.7159&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.7179&dec=-2.3949&layer=dr8&zoom=15,Speck,Y,,,Y,Beige,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.7179d%20-2.3949d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(8, 8)",,"(218.7159, -2.381)"
